PIV MEASUREMENT - Optoelectronics group LDCS version 1.1.0
Tom_0.75_2,06/12/2023,09:34:45

SOURCE_INST,SOURCE_PG_GPIO_SN,SOURCE_PG_ID,SOURCE_PG_CALIB_CONSTANT,SOURCE_PG_CALIB_DATE,SOURCE_TYPE,SOURCE_PG_OSC_INST,SOURCE_PG_OSC_SN,SOURCE_PG_OSC_AVE,SOURCE_PG_OSC_SCAL,SOURCE_PG_OSC_RANG_V,SOURCE_PG_OSC_PROB_V,SOURCE_PG_OSC_UNIT_V,SOURCE_PG_OSC_RANG_I,SOURCE_PG_OSC_PROB_I,SOURCE_PG_OSC_UNIT_I,SOURCE_PG_FREQ,SOURCE_PG_OSC_AUTO,SOURCE_PG_RES,SOURCE_PG_MAX_I,SOURCE_PG_MAX_V,SOURCE_PG_CALIB,SOURCE_PG_BG_V,SOURCE_PG_BG_I,POWER_INST,POWER_INST_SN,POWER_DETECTOR,POWER_DETECTOR_SN,POWER_DETECTOR_CALIB,POWER_WL,POWER_AVE,POWER_MAX,POWER_TR,POWER_ITH,PIV_MEAS_TIME,PIV_MEAS_END
Pulse generator (digital type),100062623,Q-PG-DP,2.098,30/11/23,Pulsed,Keysight DSOX1204A Oscilloscope,CN62096236,64,+500.0E-09,+5.50E+00,+1.0000000E+00,VOLT,+1.10E+00,+2.0980000E+00,AMP,+4.95050E+03,Auto osc. on,3,1.000000,5.000000,2.098000,-0.020700,0.000290,PM100USB,1916809,S142C,221018320,18-OCT-2022,623.700000,100.000000,0.000050,TR det. off,Ith det. off,223.838,Maximum current


Current (A), Power (W), Voltage (V)
0.5603100000,0.0000001543,2.7151000000
0.5618600000,0.0000001549,2.7174000000
0.5633100000,0.0000001560,2.7194000000
0.5647500000,0.0000001578,2.7216000000
0.5662400000,0.0000001575,2.7216000000
0.5678000000,0.0000001605,2.7249000000
0.5690900000,0.0000001621,2.7276000000
0.5707900000,0.0000001620,2.7288000000
0.5721400000,0.0000001642,2.7308000000
0.5735200000,0.0000001664,2.7336000000
0.5749200000,0.0000001667,2.7342000000
0.5762900000,0.0000001670,2.7368000000
0.5778300000,0.0000001674,2.7386000000
0.5794500000,0.0000001707,2.7404000000
0.5809200000,0.0000001716,2.7422000000
0.5824100000,0.0000001730,2.7437000000
0.5838100000,0.0000001740,2.7462000000
0.5853300000,0.0000001765,2.7478000000
0.5867000000,0.0000001767,2.7484000000
0.5883000000,0.0000001794,2.7513000000
0.5896000000,0.0000001798,2.7527000000
0.5909700000,0.0000001816,2.7561000000
0.5922300000,0.0000001842,2.7572000000
0.5938900000,0.0000001846,2.7593000000
0.5951800000,0.0000001864,2.7614000000
0.5968700000,0.0000001872,2.7626000000
0.5982300000,0.0000001884,2.7643000000
0.5997200000,0.0000001902,2.7668000000
0.6010400000,0.0000001908,2.7690000000
0.6024000000,0.0000001920,2.7711000000
0.6040000000,0.0000001959,2.7727000000
0.6054600000,0.0000001956,2.7748000000
0.6068200000,0.0000001987,2.7758000000
0.6082800000,0.0000001992,2.7772000000
0.6095900000,0.0000002007,2.7799000000
0.6110900000,0.0000002032,2.7816000000
0.6124300000,0.0000002042,2.7836000000
0.6140400000,0.0000002053,2.7856000000
0.6154100000,0.0000002076,2.7874000000
0.6168000000,0.0000002098,2.7893000000
0.6182300000,0.0000002113,2.7899000000
0.6196200000,0.0000002123,2.7927000000
0.6209800000,0.0000002145,2.7950000000
0.6224700000,0.0000002153,2.7960000000
0.6235800000,0.0000002192,2.7981000000
0.6252400000,0.0000002193,2.7999000000
0.6265100000,0.0000002226,2.8015000000
0.6279300000,0.0000002246,2.8034000000
0.6291800000,0.0000002242,2.8055000000
0.6307500000,0.0000002281,2.8071000000
0.6322300000,0.0000002297,2.8088000000
0.6334700000,0.0000002303,2.8111000000
0.6349300000,0.0000002348,2.8115000000
0.6362500000,0.0000002363,2.8153000000
0.6377900000,0.0000002386,2.8164000000
0.6394700000,0.0000002406,2.8183000000
0.6405700000,0.0000002428,2.8197000000
0.6424100000,0.0000002457,2.8211000000
0.6435500000,0.0000002465,2.8236000000
0.6450300000,0.0000002493,2.8258000000
